time, pm2.5, pm10
2018-05-17 20:24:49.748239,26,28
2018-05-17 20:24:54.823088,29,31
2018-05-17 20:24:59.897624,32,34
2018-05-17 20:25:04.972725,31,33
2018-05-17 20:25:10.047702,28,30
2018-05-17 20:25:15.123454,27,29
2018-05-17 20:25:20.198854,28,30
2018-05-17 20:25:25.274162,28,30
2018-05-17 20:25:30.350156,26,28
2018-05-17 20:25:35.425854,24,25
2018-05-17 20:25:40.493323,21,22
2018-05-17 20:25:45.569993,22,23
2018-05-17 20:25:50.646268,27,29
2018-05-17 20:25:55.722685,32,34
2018-05-17 20:26:00.799097,34,36
2018-05-17 20:26:05.875655,35,37
2018-05-17 20:26:10.948658,36,38
2018-05-17 20:26:16.026024,33,35
2018-05-17 20:26:21.103855,28,30
2018-05-17 20:26:26.181509,29,31
2018-05-17 20:26:31.259163,31,33
2018-05-17 20:26:36.337675,30,32
2018-05-17 20:26:41.416029,28,30
2018-05-17 20:26:46.494471,30,32
2018-05-17 20:26:51.572310,30,32
2018-05-17 20:26:56.651613,27,29
2018-05-17 20:27:01.730135,24,25
2018-05-17 20:27:06.809458,27,29
2018-05-17 20:27:11.888991,28,30
2018-05-17 20:27:16.969024,24,25
2018-05-17 20:27:22.049084,25,27
2018-05-17 20:27:27.129583,28,30
2018-05-17 20:27:32.210226,24,25
2018-05-17 20:27:37.287724,20,21
2018-05-17 20:27:42.369719,24,25
2018-05-17 20:27:47.450872,26,28
2018-05-17 20:27:52.534665,27,29
2018-05-17 20:27:57.616781,26,28
2018-05-17 20:28:02.699272,24,25
2018-05-17 20:28:07.782882,24,25
2018-05-17 20:28:12.863831,26,28
2018-05-17 20:28:17.944860,26,28
2018-05-17 20:28:23.025967,26,28
2018-05-17 20:28:28.107913,26,28
2018-05-17 20:28:33.189460,27,29
2018-05-17 20:28:38.257898,28,30
2018-05-17 20:28:43.340943,25,27
2018-05-17 20:28:48.418772,32,34
2018-05-17 20:28:53.500647,42,44
2018-05-17 20:28:58.583023,34,36
2018-05-17 20:29:03.665878,24,25
2018-05-17 20:29:08.736791,24,25
2018-05-17 20:29:13.820279,24,25
2018-05-17 20:29:18.903472,23,24
2018-05-17 20:29:23.987468,21,22
2018-05-17 20:29:29.071604,20,21
2018-05-17 20:29:34.155630,21,22
2018-05-17 20:29:39.239804,23,24
2018-05-17 20:29:44.325127,24,25
2018-05-17 20:29:49.409969,23,24
2018-05-17 20:29:54.494667,21,22
2018-05-17 20:29:59.579484,19,20
2018-05-17 20:30:04.664764,17,18
2018-05-17 20:30:09.749601,17,18
2018-05-17 20:30:14.855470,18,19
2018-05-17 20:30:19.902694,21,22
2018-05-17 20:30:24.990999,22,23
2018-05-17 20:30:30.080506,20,21
2018-05-17 20:30:35.169643,18,19
2018-05-17 20:30:40.259861,15,16
2018-05-17 20:30:45.352909,15,16
2018-05-17 20:30:50.443293,18,19
2018-05-17 20:30:55.531535,22,23
2018-05-17 20:31:00.609282,24,25
2018-05-17 20:31:05.703081,24,25
2018-05-17 20:31:10.791331,23,24
2018-05-17 20:31:15.876605,25,27
2018-05-17 20:31:20.964997,26,28
2018-05-17 20:31:26.054028,25,27
2018-05-17 20:31:31.143420,27,29
2018-05-17 20:31:36.233347,30,32
2018-05-17 20:31:41.322953,31,33
2018-05-17 20:31:46.412765,31,33
2018-05-17 20:31:51.503171,34,36
2018-05-17 20:31:56.578775,36,38
2018-05-17 20:32:01.668678,34,36
2018-05-17 20:32:06.758796,35,37
2018-05-17 20:32:11.849115,35,37
2018-05-17 20:32:16.954280,36,38
2018-05-17 20:32:22.062872,41,43
2018-05-17 20:32:27.163979,47,49
2018-05-17 20:32:32.263265,48,50
2018-05-17 20:32:37.359107,46,48
2018-05-17 20:32:42.454395,48,50
2018-05-17 20:32:47.541610,47,49
2018-05-17 20:32:52.635001,40,42
2018-05-17 20:32:57.729893,36,38
2018-05-17 20:33:02.823914,36,38
2018-05-17 20:33:07.917183,44,46
2018-05-17 20:33:13.009740,46,48
2018-05-17 20:33:18.102186,38,40
2018-05-17 20:33:23.195520,33,35
2018-05-17 20:33:28.290640,35,37
2018-05-17 20:33:33.339330,38,40
2018-05-17 20:33:38.434314,40,42
2018-05-17 20:33:43.529133,38,40
2018-05-17 20:33:48.625073,34,36
2018-05-17 20:33:53.721023,34,36
2018-05-17 20:33:58.817291,36,38
2018-05-17 20:34:03.912185,35,37
2018-05-17 20:34:09.007860,35,37
2018-05-17 20:34:14.094164,35,37
2018-05-17 20:34:19.189580,34,36
2018-05-17 20:34:24.270100,37,39
2018-05-17 20:34:29.365949,39,41
2018-05-17 20:34:34.462052,37,39
2018-05-17 20:34:39.558186,36,38
2018-05-17 20:34:44.654050,35,37
2018-05-17 20:34:49.750580,36,38
2018-05-17 20:34:54.847419,35,37
2018-05-17 20:34:59.943820,32,34
2018-05-17 20:35:05.022989,31,33
2018-05-17 20:35:10.120182,32,34
2018-05-17 20:35:15.217639,37,39
2018-05-17 20:35:20.315441,37,39
2018-05-17 20:35:25.413199,32,34
2018-05-17 20:35:30.510933,32,34
2018-05-17 20:35:35.609301,38,40
2018-05-17 20:35:40.707942,43,45
2018-05-17 20:35:45.805872,46,48
2018-05-17 20:35:50.889509,45,47
2018-05-17 20:35:55.989143,41,43
2018-05-17 20:36:01.089185,42,44
2018-05-17 20:36:06.188409,42,44
2018-05-17 20:36:11.287945,39,41
2018-05-17 20:36:16.386133,40,42
2018-05-17 20:36:21.485880,42,44
2018-05-17 20:36:26.585701,40,42
2018-05-17 20:36:31.686107,39,41
2018-05-17 20:36:36.770713,39,41
2018-05-17 20:36:41.871414,42,44
2018-05-17 20:36:46.972926,49,51
2018-05-17 20:36:52.064702,51,53
2018-05-17 20:36:57.118647,49,51
2018-05-17 20:37:02.221712,46,48
2018-05-17 20:37:07.325510,44,46
2018-05-17 20:37:12.434146,46,48
2018-05-17 20:37:17.541935,50,52
2018-05-17 20:37:22.643813,52,54
2018-05-17 20:37:27.747904,53,55
2018-05-17 20:37:32.851630,52,54
2018-05-17 20:37:37.956516,49,51
2018-05-17 20:37:43.062089,51,53
2018-05-17 20:37:48.148721,54,56
2018-05-17 20:37:53.253223,52,54
2018-05-17 20:37:58.342537,49,51
2018-05-17 20:38:03.446171,50,52
2018-05-17 20:38:08.550209,54,56
2018-05-17 20:38:13.645174,55,57
2018-05-17 20:38:18.750498,52,54
2018-05-17 20:38:23.855487,51,53
2018-05-17 20:38:28.961608,50,52
2018-05-17 20:38:34.066197,49,51
2018-05-17 20:38:39.172933,48,50
2018-05-17 20:38:44.280190,45,47
2018-05-17 20:38:49.385864,43,45
2018-05-17 20:38:54.490416,41,43
2018-05-17 20:38:59.596234,39,41
2018-05-17 20:39:04.704999,41,43
2018-05-17 20:39:09.812090,44,46
2018-05-17 20:39:14.901986,43,45
2018-05-17 20:39:20.007358,41,43
2018-05-17 20:39:25.117079,42,44
2018-05-17 20:39:30.225807,45,47
2018-05-17 20:39:35.319241,44,46
2018-05-17 20:39:40.426758,44,46
2018-05-17 20:39:45.535619,45,47
2018-05-17 20:39:50.644241,44,46
2018-05-17 20:39:55.753245,44,46
2018-05-17 20:40:00.865106,43,45
2018-05-17 20:40:05.979065,40,42
2018-05-17 20:40:11.087795,41,43
2018-05-17 20:40:16.196729,43,45
2018-05-17 20:40:21.305518,42,44
2018-05-17 20:40:26.414911,45,47
2018-05-17 20:40:31.524361,48,50
2018-05-17 20:40:36.636817,46,48
2018-05-17 20:40:41.746417,43,45
